DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/subprocess.py first seen with mtime 1661470637.0
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1677616943.619446
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema_log.py first seen with mtime 1712270660.6704888
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/asyncio/queues.py first seen with mtime 1661470638.0
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/xml/parsers/__init__.py first seen with mtime 1661470639.0
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/email/mime/nonmultipart.py first seen with mtime 1661470638.0
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/Desktop/capstone/csc490-interactive-art/server/arduino/urls.py first seen with mtime 1713204379.1649477
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/template/loaders/filesystem.py first seen with mtime 1677616943.7914453
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/utils/datastructures.py first seen with mtime 1677616943.7954452
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/utils/ipv6.py first seen with mtime 1677616943.7954452
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/contrib/auth/hashers.py first seen with mtime 1677616943.599446
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/templatetags/cache.py first seen with mtime 1677616943.7914453
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/chardet/gb2312prober.py first seen with mtime 1706724839.373187
DEBUG 2024-04-21 03:11:41,205 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/http/cookie.py first seen with mtime 1677616943.7874453
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/email/encoders.py first seen with mtime 1661470638.0
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/charset_normalizer/assets/__init__.py first seen with mtime 1630003258.0
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/email/_encoded_words.py first seen with mtime 1661470638.0
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_safe_repr.py first seen with mtime 1712270660.8664882
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/flags.py first seen with mtime 1712270660.938488
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_plugin_utils.py first seen with mtime 1712270660.8544881
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/pkgutil.py first seen with mtime 1661470637.0
